Links,Text in links
https://en.wikipedia.org/wiki/Athletes,athletes
https://en.wikipedia.org/wiki/Multi-sport_event,variety of competitions
https://en.wikipedia.org/wiki/Olympiad,four years
https://en.wikipedia.org/wiki/1994_Winter_Olympics,1994
https://en.wikipedia.org/wiki/Summer_Olympic_Games,Summer
https://en.wikipedia.org/wiki/Winter_Olympic_Games,Winter Olympics
https://en.wikipedia.org/wiki/Ancient_Olympic_Games,ancient Olympic Games
"https://en.wikipedia.org/wiki/Olympia,_Greece","Olympia, Greece"
https://en.wikipedia.org/wiki/Pierre_de_Coubertin,Baron Pierre de Coubertin
https://en.wikipedia.org/wiki/International_Olympic_Committee,International Olympic Committee
https://en.wikipedia.org/wiki/Athens,Athens
https://en.wikipedia.org/wiki/Olympic_Movement,Olympic Movement
https://en.wikipedia.org/wiki/Olympic_Charter,Olympic Charter
https://en.wikipedia.org/wiki/Paralympic_Games,Paralympic Games
https://en.wikipedia.org/wiki/Youth_Olympic_Games,Youth Olympic Games
https://en.wikipedia.org/wiki/Pan_American_Games,Pan American
https://en.wikipedia.org/wiki/African_Games,African
https://en.wikipedia.org/wiki/Asian_Games,Asian
https://en.wikipedia.org/wiki/European_Games,European
https://en.wikipedia.org/wiki/Pacific_Games,Pacific
https://en.wikipedia.org/wiki/World_Games,World Games
https://en.wikipedia.org/wiki/Deaflympics,Deaflympics
https://en.wikipedia.org/wiki/Special_Olympics,Special Olympics
https://en.wikipedia.org/wiki/Olympic_Games#Amateurism_and_professionalism,abuse of amateur rules
https://en.wikipedia.org/wiki/Eastern_Bloc,Eastern Bloc
https://en.wikipedia.org/wiki/Amateur_sports,amateurism
https://en.wikipedia.org/wiki/Professional_athlete,professional athletes
https://en.wikipedia.org/wiki/Sponsor_(commercial),corporate sponsorship
https://en.wikipedia.org/wiki/World_War_I,I
https://en.wikipedia.org/wiki/World_War_II,II
https://en.wikipedia.org/wiki/1916_Summer_Olympics,1916
https://en.wikipedia.org/wiki/1940_Summer_Olympics,1940
https://en.wikipedia.org/wiki/1944_Summer_Olympics,1944
https://en.wikipedia.org/wiki/Cold_War,Cold War
https://en.wikipedia.org/wiki/1980_Summer_Olympics,1980
https://en.wikipedia.org/wiki/1984_Summer_Olympics,1984
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020
https://en.wikipedia.org/wiki/COVID-19_pandemic,COVID-19 pandemic
https://en.wikipedia.org/wiki/List_of_international_sports_federations,international sports federations
https://en.wikipedia.org/wiki/National_Olympic_Committee,National Olympic Committees
https://en.wikipedia.org/wiki/Olympic_sports,sports
https://en.wikipedia.org/wiki/Olympic_flag,Olympic flag
https://en.wikipedia.org/wiki/Olympic_Flame#Torches,torch
https://en.wikipedia.org/wiki/Olympic_Games_ceremony,opening and closing ceremonies
https://en.wikipedia.org/wiki/2020_Summer_Olympics,2020 Summer Olympics
https://en.wikipedia.org/wiki/2022_Winter_Olympics,2022 Winter Olympics
https://en.wikipedia.org/wiki/Olympic_medal,Olympic medals
https://en.wikipedia.org/wiki/Olympic_Games_scandals_and_controversies,controversies
https://en.wikipedia.org/wiki/List_of_Olympic_Games_boycotts,boycotts
https://en.wikipedia.org/wiki/Use_of_performance-enhancing_drugs_in_the_Olympic_Games,doping
